Stazione Magic Pass,lat,lon,name,nat_abbr,wmo_ind,chx,chy,lon_2,lat_2,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data,n,distance,feature_x,feature_y,nearest_x,nearest_y
Eriz,46.775819,7.824794,Schwarzenegg,SCE,NA,"2621687.15","1183859.92","7.72275278","46.8055444","902",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.10628268901495,7.824794,46.775819,7.72275278,46.8055444
Arolla,46.020262,7.473954,Evol√®ne / Villa,EVO,"6722","2605411.5","1106748.15","7.50863056","46.1122111","1825",Valais,"10","1986","2020","34","1","1987","2021","35","0",TRUE,1,0.0982705490177183,7.473954,46.020262,7.50863056,46.1122111
Evolène,46.121571,7.477226,Evol√®ne / Villa,EVO,"6722","2605411.5","1106748.15","7.50863056","46.1122111","1825",Valais,"10","1986","2020","34","1","1987","2021","35","0",TRUE,1,0.0327697134074074,7.477226,46.121571,7.50863056,46.1122111
La Forclaz,46.086246,7.523221,Evol√®ne / Villa,EVO,"6722","2605411.5","1106748.15","7.50863056","46.1122111","1825",Valais,"10","1986","2020","34","1","1987","2021","35","0",TRUE,1,0.0297836760223386,7.523221,46.086246,7.50863056,46.1122111
Faltschen,46.628002,7.72498,Hondrich,HON,NA,"2618524.97","1169129.74","7.68073056","46.6731333","760",Western Alpine North- slope,"8","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0632048034567293,7.72498,46.628002,7.68073056,46.6731333
Gantrisch Gurnigel,46.724655,7.454506,Blumenstein,BLU,NA,"2606259.91","1177009.89","7.52055278","46.7442472","655",Western Alpine North- slope,"8","1973","2020","48","0",NA,NA,NA,NA,FALSE,1,0.0688914468508849,7.454506,46.724655,7.52055278,46.7442472
Glacier 3000,46.353821,7.205612,Les Diablerets,DIB,NA,"2579037.58","1132867.4","7.16633333","46.3468639","1191",Western Alpine North- slope,"8","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.039890038322606,7.205612,46.353821,7.16633333,46.3468639
Gpson,46.225312,7.902122,Stalden / Ackersand,AST,NA,"2633629.61","1121149.59","7.87463889","46.2409417","700",Valais,"10","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0316165914886798,7.902122,46.225312,7.87463889,46.2409417
Grenchenberg,47.221455,7.380616,Moutier,MOU,NA,"2594939.37","1235698.45","7.37176111","47.2721667","579",Western Jura,"2","1970","2020","51","0",NA,NA,NA,NA,FALSE,1,0.0514789820587217,7.380616,47.221455,7.37176111,47.2721667
Grimentz-Zinal,46.163437,7.584548,Grimentz,GRI,NA,"2610767.53","1114288.69","7.57808056","46.1799778","1512",Valais,"10","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0177602321154213,7.584548,46.163437,7.57808056,46.1799778
Gstaad,46.465485,7.273952,"Gsteig, Gstaad",GSG,NA,"2587686","1136142","7.27859167","46.3765333","1196",Western Alpine North- slope,"8","1961","2020","60","0","2014","2020","6","1",FALSE,1,0.0890726190846512,7.273952,46.465485,7.27859167,46.3765333
Rougemont,46.472771,7.206613,Ch√¢teau-d'Oex,CHD,"6627","2577040.14","1147654.83","7.13965556","46.4798194","1028",Western Alpine North- slope,"8","1961","2020","60","0","2012","2020","8","1",FALSE,1,0.067327399429308,7.206613,46.472771,7.13965556,46.4798194
Saanenmöser,46.506207,7.323383,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.115569886495717,7.323383,46.506207,7.27589444,46.6115694
Schönried,46.507072,7.274805,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.104503078836336,7.274805,46.507072,7.27589444,46.6115694
St-Stephan,46.511063,7.382613,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.14659600093261,7.382613,46.511063,7.27589444,46.6115694
Zweisimmen,46.550652,7.373709,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.115232884936348,7.373709,46.550652,7.27589444,46.6115694
Grimmialp,46.568069,7.484264,Stiegelschwand,SGD,NA,"2607278.66","1148536.01","7.53343333","46.4881","1466",Western Alpine North- slope,"8","1974","2020","47","0",NA,NA,NA,NA,FALSE,1,0.0938757901359489,7.484264,46.568069,7.53343333,46.4881
Gurnigelbad,46.757008,7.44959,Blumenstein,BLU,NA,"2606259.91","1177009.89","7.52055278","46.7442472","655",Western Alpine North- slope,"8","1973","2020","48","0",NA,NA,NA,NA,FALSE,1,0.0721009997293277,7.44959,46.757008,7.52055278,46.7442472
Habkern,46.731907,7.854006,Interlaken,INT,"6734","2633023.19","1169091.9","7.87019444","46.6722333","577.34",Western Alpine North- slope,"8","1961","2020","60","0","1982","2021","40","0",TRUE,1,0.0618305431103698,7.854006,46.731907,7.87019444,46.6722333
Heimenschwand,46.827389,7.677143,Schwarzenegg,SCE,NA,"2621687.15","1183859.92","7.72275278","46.8055444","902",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0505711239820531,7.677143,46.827389,7.72275278,46.8055444
Hohwald,46.70932,7.821546,Interlaken,INT,"6734","2633023.19","1169091.9","7.87019444","46.6722333","577.34",Western Alpine North- slope,"8","1961","2020","60","0","1982","2021","40","0",TRUE,1,0.0611726575466794,7.821546,46.70932,7.87019444,46.6722333
Homberg,46.767752,7.677712,Schwarzenegg,SCE,NA,"2621687.15","1183859.92","7.72275278","46.8055444","902",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0587957257015212,7.677712,46.767752,7.72275278,46.8055444
Jaun,46.608944,7.290691,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0150276715759159,7.290691,46.608944,7.27589444,46.6115694
Jaunpass,46.59558,7.33801,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0641404997367001,7.33801,46.59558,7.27589444,46.6115694
Jeizinen,46.331917,7.722714,Leukerbad,LEU,NA,"2614082.63","1135090.04","7.62163889","46.3670361","1286",Valais,"10","1961","2020","60","0","2013","2020","7","1",FALSE,1,0.107002472150518,7.722714,46.331917,7.62163889,46.3670361
Kiental,46.582592,7.715937,Frutigen,FRU,"6613","2616773.49","1160883.78","7.65754167","46.5990028","756",Western Alpine North- slope,"8","1961","2020","59","1","2015","2020","5","1",FALSE,1,0.0606574721073098,7.715937,46.582592,7.65754167,46.5990028
La Berra,46.682167,7.166771,La Valsainte,VST,NA,"2580089.68","1166314.08","7.17856111","46.6477667","1044",Western Alpine North- slope,"8","1961","2020","60","0","2018","2020","3","0",FALSE,1,0.0363646440090126,7.166771,46.682167,7.17856111,46.6477667
La Lécherette,46.416975,7.119769,Col des Mosses,CDM,"6713","2573817.1","1137852.8","7.09823889","46.391525","1412",Western Alpine North- slope,"8","1973","2020","48","0","2016","2020","5","0",FALSE,1,0.0333353886524823,7.119769,46.416975,7.09823889,46.391525
Lauchernalp,46.406406,7.776004,Visp,VIS,"6727","2631150.61","1128024.02","7.84295833","46.3029","639.43",Valais,"10","1981","2020","40","0","1982","2021","40","0",TRUE,1,0.123273575196585,7.776004,46.406406,7.84295833,46.3029
Le Brassus,46.576439,6.213542,Longirod,LON,NA,"2509386.5","1150106.64","6.25828056","46.4961389","900",Western plateau,"5","1961","2020","59","1","2014","2020","6","1",FALSE,1,0.0919219495598519,6.213542,46.576439,6.25828056,46.4961389
Les Diablerets,46.341095,7.147033,Les Diablerets,DIB,NA,"2579037.58","1132867.4","7.16633333","46.3468639","1191",Western Alpine North- slope,"8","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0201440548380624,7.147033,46.341095,7.16633333,46.3468639
Les Marécottes,46.111336,7.006306,Les Mar√©cottes,MAR,"6614","2567374.27","1107577.3","7.01659722","46.1189028","990",Valais,"10","1962","2020","59","0","2015","2020","5","1",FALSE,1,0.0127736318769718,7.006306,46.111336,7.01659722,46.1189028
Les Mayens de Conthey,46.256624,7.284725,Sion,SIO,"6720","2591632.82","1118583.84","7.33020278","46.21865","482",Valais,"10","1961","2020","60","0","1982","2021","40","0",TRUE,1,0.0592473893916752,7.284725,46.256624,7.33020278,46.21865
Les Mosses,46.391678,7.071578,Col des Mosses,CDM,"6713","2573817.1","1137852.8","7.09823889","46.391525","1412",Western Alpine North- slope,"8","1973","2020","48","0","2016","2020","5","0",FALSE,1,0.0266613290102374,7.071578,46.391678,7.09823889,46.391525
Les Paccots,46.513724,6.936361,Fruence,FRC,NA,"2558813.1","1152867","6.90184722","46.5258306","810",Western plateau,"5","1978","2020","43","0",NA,NA,NA,NA,FALSE,1,0.0365755488468499,6.936361,46.513724,6.90184722,46.5258306
Les Pléiades,46.488899,6.916388,Fruence,FRC,NA,"2558813.1","1152867","6.90184722","46.5258306","810",Western plateau,"5","1978","2020","43","0",NA,NA,NA,NA,FALSE,1,0.0396910236901002,6.916388,46.488899,6.90184722,46.5258306
Les Rasses,46.834576,6.534253,Bullet / La Fr√©taz,FRE,"6619","2534225.12","1188081.79","6.57636944","46.8406222","1205.43",Western Jura,"2","1979","2020","42","0","1982","2021","40","0",TRUE,1,0.042548220323694,6.534253,46.834576,6.57636944,46.8406222
Les Rochers de Naye,46.432796,6.979251,Les Avants,AVA,NA,"2561879.65","1145178.33","6.94244444","46.45685","1036",Western plateau,"5","1975","2020","46","0","2016","2020","4","1",FALSE,1,0.0439695096064711,6.979251,46.432796,6.94244444,46.45685
Leukerbad,46.371437,7.638759,Leukerbad,LEU,NA,"2614082.63","1135090.04","7.62163889","46.3670361","1286",Valais,"10","1961","2020","60","0","2013","2020","7","1",FALSE,1,0.0176767103054307,7.638759,46.371437,7.62163889,46.3670361
Leysin,46.353519,7.010152,Aigle,AIG,"6712","2560403.97","1130713.31","6.92447222","46.3266472","381.02",Western Alpine North- slope,"8","1981","2020","40","0","1982","2021","40","0",TRUE,1,0.0897948680943874,7.010152,46.353519,6.92447222,46.3266472
Linden,46.843925,7.678084,Schwarzenegg,SCE,NA,"2621687.15","1183859.92","7.72275278","46.8055444","902",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0588928719205317,7.678084,46.843925,7.72275278,46.8055444
Marbachegg,46.834702,7.911718,"Marbach, LU",MBA,NA,"2635347.42","1189679.99","7.90215833","46.8573111","864",Central Alpine north slope,"7","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0245470709722923,7.911718,46.834702,7.90215833,46.8573111
Meiringen-Hasliberg,46.730618,8.200658,Meiringen,MER,"6637","2655844.42","1175929.73","8.16924722","46.7322222","588.6",Western Alpine North- slope,"8","1961","2020","60","0","2011","2020","9","1",FALSE,1,0.0314517178838994,8.200658,46.730618,8.16924722,46.7322222
Melchsee-Frutt,46.776344,8.270116,Gadmen,GAD,NA,"2669750.53","1176609.69","8.35126944","46.7370306","1190",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0901744101361018,8.270116,46.776344,8.35126944,46.7370306
Moléson,46.561966,7.034523,Le Mol√©son,MLS,"6609","2567718.29","1155076.76","7.01775278","46.5461972","1974.34",Western Alpine North- slope,"8","1982","2020","38","1","1983","2021","39","0",TRUE,1,0.0230194555167641,7.034523,46.561966,7.01775278,46.5461972
Moosalp,46.248253,7.829611,Stalden / Ackersand,AST,NA,"2633629.61","1121149.59","7.87463889","46.2409417","700",Valais,"10","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0456176060917501,7.829611,46.248253,7.87463889,46.2409417
Mörlialp,46.822742,8.108218,Lungern,LUN,NA,"2655275.51","1181799.78","8.16251389","46.7850722","740",Central Alpine north slope,"7","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0660837158680691,8.108218,46.822742,8.16251389,46.7850722
Nax,46.225464,7.462543,Montana,MVE,"6724","2601708.75","1127488.92","7.46081389","46.2988056","1422.86",Valais,"10","1961","2020","60","0","1982","2021","40","0",TRUE,1,0.0733619800165724,7.462543,46.225464,7.46081389,46.2988056
Niederhorn,46.710602,7.775802,Interlaken,INT,"6734","2633023.19","1169091.9","7.87019444","46.6722333","577.34",Western Alpine North- slope,"8","1961","2020","60","0","1982","2021","40","0",TRUE,1,0.10189254079099,7.775802,46.710602,7.87019444,46.6722333
Ottenleue,46.735054,7.364665,Schwarzenburg,SZB,NA,"2593150","1184720.03","7.34888333","46.8135972","806",Central plateau,"4","1961","2020","59","1",NA,NA,NA,NA,FALSE,1,0.0801130162597107,7.364665,46.735054,7.34888333,46.8135972
Ovronnaz,46.204193,7.151211,Gryon,GRY,NA,"2571519.59","1125125.27","7.06915","46.2769417","1146",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.109664857965945,7.151211,46.204193,7.06915,46.2769417
Rathvel,46.544109,6.975307,Le Mol√©son,MLS,"6609","2567718.29","1155076.76","7.01775278","46.5461972","1974.34",Western Alpine North- slope,"8","1982","2020","38","1","1983","2021","39","0",TRUE,1,0.0424971154203253,6.975307,46.544109,7.01775278,46.5461972
Robella - Val de Travers,46.8811,6.55007,Bullet / La Fr√©taz,FRE,"6619","2534225.12","1188081.79","6.57636944","46.8406222","1205.43",Western Jura,"2","1979","2020","42","0","1982","2021","40","0",TRUE,1,0.0482712423411082,6.55007,46.8811,6.57636944,46.8406222
Rossberg,46.627453,7.433806,Erlenbach im Simmental,ERB,NA,"2606536.85","1167474.85","7.52404167","46.6584722","732",Western Alpine North- slope,"8","1970","2020","51","0",NA,NA,NA,NA,FALSE,1,0.095418378255914,7.433806,46.627453,7.52404167,46.6584722
Rosswald,46.304493,8.041525,Brig,BRI,NA,"2640566.78","1129068.74","7.96526389","46.3117944","665",Valais,"10","1962","2012","51","0","2014","2020","7","0",FALSE,1,0.0766098384046855,8.041525,46.304493,7.96526389,46.3117944
Rüschegg,46.750965,7.425229,Blumenstein,BLU,NA,"2606259.91","1177009.89","7.52055278","46.7442472","655",Western Alpine North- slope,"8","1973","2020","48","0",NA,NA,NA,NA,FALSE,1,0.0955602002421955,7.425229,46.750965,7.52055278,46.7442472
Saas-Almagell,46.089706,7.963252,Simplon-Dorf,SIM,"6654","2647682.58","1116339.61","8.05633611","46.196825","1465",Alpine south side,"12","1962","2020","59","0","2017","2020","4","0",FALSE,1,0.141912408532487,7.963252,46.089706,8.05633611,46.196825
Saas Fee,46.099144,7.925277,Gr√§chen,GRC,"6728","2630738.43","1116062","7.83682222","46.1953139","1605",Valais,"10","1961","2020","60","0","2013","2020","7","1",FALSE,1,0.13066329924986,7.925277,46.099144,7.83682222,46.1953139
Saignelégier,47.25581,6.995653,Saignel√©gier,SAI,NA,"2565349.19","1234100.69","6.98085556","47.2569056","883",Western Jura,"2","1961","2020","60","0","2016","2020","4","1",FALSE,1,0.0148379435877619,6.995653,47.25581,6.98085556,47.2569056
Schwanden,46.736632,7.729452,Schwarzenegg,SCE,NA,"2621687.15","1183859.92","7.72275278","46.8055444","902",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0692372618058274,7.729452,46.736632,7.72275278,46.8055444
Schwarzsee,46.664074,7.290966,Jaun,JAU,NA,"2587532.75","1162270.01","7.27589444","46.6115694","1029",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.054624947981609,7.290966,46.664074,7.27589444,46.6115694
Selital,46.744904,7.392882,Schwarzenburg,SZB,NA,"2593150","1184720.03","7.34888333","46.8135972","806",Central plateau,"4","1961","2020","59","1",NA,NA,NA,NA,FALSE,1,0.0815759688144048,7.392882,46.744904,7.34888333,46.8135972
Sörenberg,46.8148,8.030524,"Fl√ºhli, LU",FLU,"6652","2644332.93","1193311.28","8.02033611","46.8894361","939.75",Central Alpine north slope,"7","1961","2014","54","0","2015","2020","5","1",FALSE,1,0.0753282186558396,8.030524,46.8148,8.02033611,46.8894361
Springenboden,46.616902,7.576687,Erlenbach im Simmental,ERB,NA,"2606536.85","1167474.85","7.52404167","46.6584722","732",Western Alpine North- slope,"8","1970","2020","51","0",NA,NA,NA,NA,FALSE,1,0.067079149508983,7.576687,46.616902,7.52404167,46.6584722
St Cergue,46.442966,6.08722,La Cure,CUE,NA,"2495297.35","1146347.71","6.07563611","46.460275","1185",Western Jura,"2","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.020827577596357,6.08722,46.442966,6.07563611,46.460275
St-Luc / Chandolin,46.248325,7.604917,Sierre,SRE,NA,"2609137.6","1127458.14","7.55723056","46.2984694","536",Valais,"10","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0691986807044305,7.604917,46.248325,7.55723056,46.2984694
Tramelan,47.214433,7.083587,Courtelary,COY,"6710","2573622.81","1225598.18","7.09065556","47.1808111","695",Western Jura,"2","1961","2020","60","0","2015","2020","5","1",FALSE,1,0.0343569017823727,7.083587,47.214433,7.09065556,47.1808111
Unterbäch,46.27927,7.799555,Visp,VIS,"6727","2631150.61","1128024.02","7.84295833","46.3029","639.43",Valais,"10","1981","2020","40","0","1982","2021","40","0",TRUE,1,0.0494188825762899,7.799555,46.27927,7.84295833,46.3029
Vercorin,46.246895,7.532484,Sierre,SRE,NA,"2609137.6","1127458.14","7.55723056","46.2984694","536",Valais,"10","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0572041166979577,7.532484,46.246895,7.55723056,46.2984694
Villars-Gryon,46.299984,7.090662,Gryon,GRY,NA,"2571519.59","1125125.27","7.06915","46.2769417","1146",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0315232252996109,7.090662,46.299984,7.06915,46.2769417
Visperterminen,46.256939,7.913731,Stalden / Ackersand,AST,NA,"2633629.61","1121149.59","7.87463889","46.2409417","700",Valais,"10","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0422386869059894,7.913731,46.256939,7.87463889,46.2409417
Wilerallmi,46.726089,7.745841,Schwarzenegg,SCE,NA,"2621687.15","1183859.92","7.72275278","46.8055444","902",Western Alpine North- slope,"8","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0827419270498849,7.745841,46.726089,7.72275278,46.8055444
Wiriehorn,46.612373,7.532542,Erlenbach im Simmental,ERB,NA,"2606536.85","1167474.85","7.52404167","46.6584722","732",Western Alpine North- slope,"8","1970","2020","51","0",NA,NA,NA,NA,FALSE,1,0.0468763463886527,7.532542,46.612373,7.52404167,46.6584722
